id,title,author,ISBN,series,avg_rating,pages,rating_count,review_count,book_format,published_date,publisher
221,The Fireman,Joe Hill,006220064X,NULL,3.90,768,41661,6170,Paperback,January 3rd 2017,William Morrow Paperbacks
220,The Troop,Nick Cutter,1476717710,NULL,3.74,358,19760,3577,Hardcover,February 25th 2014,Gallery Books
219,Black House,Stephen King,034547063X,(The Talisman #2),4.00,688,50051,1510,Paperback,September 30th 2003,Ballantine Books
218,The Call of Cthulhu and Other Weird Stories,H.P. Lovecraft,0141182342,NULL,4.22,420,33153,1240,Paperback,October 1st 1999,Penguin Classics
217,Watchers,Dean Koontz,NULL,NULL,4.17,624,131073,3325,Paperback,January 28th 2003,Berkley
216,Horrorstör,Grady Hendrix,1594745269,NULL,3.61,248,18704,3620,Paperback,September 23rd 2014,Quirk
214,The Regulators,Richard Bachman,0451191013,NULL,3.70,498,66277,1182,Mass Market Paperback,September 1997,Signet
215,Pride and Prejudice and Zombies,Seth Grahame-Smith,1594743347,(Pride and Prejudice and Zombies #1),3.29,320,120577,12710,Paperback,May 1st 2009,Quirk Classics
213,The Ruins,Scott B. Smith,1400043875,NULL,3.54,319,27490,3183,Hardcover,July 18th 2006,Alfred A. Knopf
212,The Graveyard Book,Neil Gaiman,0060530928,NULL,4.13,307,388061,28147,Hardcover,September 30th 2008,HarperCollins
211,Odd Thomas,Dean Koontz,0553384287,(Odd Thomas #1),3.96,446,230662,6979,Paperback,August 29th 2006,Bantam
210,The Drawing of the Three,Stephen King,0451210859,(The Dark Tower #2),4.23,463,190564,6852,Paperback,August 5th 2003,Signet
209,The Cask of Amontillado,Edgar Allan Poe,1594561869,NULL,4.09,20,55660,1196,Paperback,February 2nd 2004,BookSurge
208,The Raven,Edgar Allan Poe,0486290727,NULL,4.28,64,85190,1826,Paperback,April 25th 1996,Dover Publications
207,The Girl from the Well,Rin Chupeco,140229218X,(The Girl from the Well #1),3.78,267,6279,1287,Hardcover,August 5th 2014,Sourcebooks Fire
206,End of Watch,Stephen King,1501129740,(Bill Hodges Trilogy #3),4.09,432,69795,7037,Hardcover,June 7th 2016,Scribner
205,Fevre Dream,George R.R. Martin,0553383051,NULL,3.86,334,19546,1878,Paperback,September 28th 2004,Bantam
204,"Wytches, Volume 1",Scott Snyder,1632153807,(Wytches #1),3.83,192,11243,1579,Paperback,June 24th 2015,Image Comics
203,The Yellow Wall-Paper,Charlotte Perkins Gilman,1558611584,NULL,4.11,64,72004,3696,Paperback,September 1st 1996,The Feminist Press at CUNY
202,The Lottery and Other Stories,Shirley Jackson,0374529531,NULL,4.06,302,57765,1841,Paperback,March 16th 2005,"Farrar, Straus and Giroux"
201,The Mummy,Anne Rice,009947137X,(Ramses the Damned #1),3.83,480,41111,1054,Paperback,2004,Arrow
200,The Tell-Tale Heart,Edgar Allan Poe,0871917726,NULL,4.23,54,48340,1578,Hardcover,1998,Books of Wonder
199,Clockworks,Joe Hill,1613772270,(Locke & Key #5),4.50,160,21003,1259,Hardcover,July 2013,IDW Publishing
198,14,Peter Clines,NULL,(Threshold #1),3.94,372,27245,3321,Kindle Edition,June 5th 2012,Permuted Press
197,Battle Royale,Koushun Takami,156931778X,NULL,4.25,617,47150,4463,Paperback,February 26th 2003,"VIZ, LLC"
196,Preludes & Nocturnes,Neil Gaiman,1563892278,(The Sandman #1),4.26,233,177729,5294,Hardcover,December 1st 1998,Vertigo
195,Strange Weather,Joe Hill,0062663119,NULL,3.90,432,13160,2080,Hardcover,October 24th 2017,William Morrow
194,Weaveworld,Clive Barker,0007117140,NULL,4.13,721,26356,1052,Paperback,August 20th 2001,Harper Voyager
193,Night Film,Marisha Pessl,0812979788,NULL,3.78,640,65859,9471,Paperback,July 1st 2014,Random House Trade Paperbacks
192,The Fall of the House of Usher,Edgar Allan Poe,1594561796,(Izbrana dela #1),3.95,36,39187,1064,Paperback,February 2nd 2004,BookSurge Classics
191,The Pit and the Pendulum,Edgar Allan Poe,0146000110,NULL,4.16,56,53834,767,Paperback,September 1995,Penguin
190,Lovecraft Country,Matt Ruff,0062292080,NULL,4.06,400,10490,1516,ebook,February 16th 2016,Harper
189,Meddling Kids,Edgar Cantero,0385541996,NULL,3.58,322,15292,3062,Hardcover,July 11th 2017,Doubleday Books
188,The Call of Cthulhu,H.P. Lovecraft,NULL,NULL,4.03,43,30363,1620,Kindle Edition,April 1st 2011,"Amazon Digital Services, Inc."
187,The Zombie Survival Guide: Complete Protection from the Living Dead,Max Brooks,1400049628,NULL,3.86,270,92744,3737,Paperback,September 16th 2003,Three Rivers Press
186,Joyland,Stephen King,1781162646,NULL,3.91,283,97475,10681,Paperback,June 4th 2013,Hard Case Crime
185,Hex,Thomas Olde Heuvelt,0765378809,NULL,3.72,384,13196,2406,Hardcover,April 26th 2016,Tor
184,Jaws,Peter Benchley,1400064562,(Jaws #1),3.97,320,122641,2984,Hardcover,May 31st 2005,Random House
183,Haunted,Chuck Palahniuk,1400032822,NULL,3.59,419,79471,4058,Paperback,April 11th 2006,Anchor
182,Memnoch the Devil,Anne Rice,096319254X,(The Vampire Chronicles #5),3.74,354,71884,1546,Hardcover,March 1999,B E Trice Pub
181,Annihilation,Jeff VanderMeer,0374104093,(Southern Reach #1),3.67,195,124444,15042,Paperback,February 4th 2014,"Farrar, Straus and Giroux"
180,The Terror,Dan Simmons,0316017442,NULL,4.05,769,34733,3807,Hardcover,January 8th 2007,"Little, Brown and Company"
179,John Dies at the End,David  Wong,0978970764,(John Dies at the End #1),3.91,362,54433,5647,Paperback,August 1st 2007,Permuted Press
178,Feed,Mira Grant,0316081051,(Newsflesh #1),3.86,599,48018,5827,Mass Market Paperback,May 1st 2010,Orbit
177,Through the Woods,Emily Carroll,1442465956,NULL,3.91,208,48700,6285,Hardcover,July 15th 2014,Margaret K. McElderry Books
176,The Complete Stories and Poems,Edgar Allan Poe,0385074077,NULL,4.38,821,195129,2117,Hardcover,August 15th 1984,"Doubleday & Company, Inc."
175,The Hellbound Heart,Clive Barker,0061002828,NULL,4.03,164,33508,1521,Paperback,November 1st 1991,HarperTorch
174,Welcome to Lovecraft,Joe Hill,1600102379,(Locke & Key #1),4.14,168,63935,3856,Hardcover,February 2013,IDW Publishing
173,The Outsider,Stephen King,1501180983,NULL,4.03,561,94777,10643,Hardcover,May 22nd 2018,Scribner
167,Broken Monsters,Lauren Beukes,031621681X,NULL,3.58,464,16674,2479,Paperback,June 16th 2015,Mulholland Books
166,Girl of Nightmares,Kendare Blake,0765328666,(Anna #2),3.88,332,25476,3416,Hardcover,August 7th 2012,Tor Teen
165,Keys to the Kingdom,Joe Hill,1600108865,(Locke & Key #4),4.42,152,22733,1339,Hardcover,February 2013,IDW Publishing
164,'Salem's Lot,Stephen King,0385516487,NULL,4.25,594,86020,741,Hardcover,November 1st 2005,Doubleday
163,"The Walking Dead, Vol. 2: Miles Behind Us",Robert Kirkman,1582404135,(The Walking Dead (Collected Editions) #2),4.24,136,32916,1480,Comics,November 24th 2004,Image Comics
162,Necroscope,Brian Lumley,031285787X,(Necroscope #1),3.99,383,17491,604,Hardcover,December 1st 1994,Tor Books
161,I Am Not a Serial Killer,Dan Wells,NULL,(John Cleaver #1),3.78,272,27095,3756,Kindle Edition,March 30th 2010,Tor Books
160,At the Mountains of Madness and Other Tales of Terror,H.P. Lovecraft,0345329457,NULL,4.25,184,21260,518,Mass Market Paperback,September 13th 1991,Del Rey Books
159,The Eyes of the Dragon,Stephen King,0751504572,NULL,3.93,427,92611,3784,Paperback,May 13th 1993,Time Warner Paperbacks
158,The Great and Secret Show,Clive Barker,006093316X,(Book of the Art #1),4.05,658,27417,643,Paperback,November 3rd 1999,HarperPerennial
157,The Wasp Factory,Iain Banks,0684853159,NULL,3.83,192,62096,3778,Paperback,1998,Simon & Schuster (NYC)
156,Cabal,Clive Barker,0743417321,NULL,3.93,358,16651,477,Paperback,January 1st 2001,Gallery Books
155,Alice,Christina Henry,0425266796,(The Chronicles of Alice #1),3.88,291,16513,2811,Paperback,August 4th 2015,Ace
154,The Damnation Game,Clive Barker,0425188930,NULL,3.82,433,16734,448,Mass Market Paperback,November 5th 2002,Berkley Books
153,The Island of Doctor Moreau,H.G. Wells,0553214322,NULL,3.72,153,82283,3551,Paperback,May 1st 1994,Bantam Classics
152,Intensity,Dean Koontz,0553582917,NULL,4.05,436,67027,2714,Paperback,October 31st 2000,Bantam
151,The Night Eternal,Guillermo del Toro,0061558265,(The Strain Trilogy #3),3.68,371,25528,2123,Hardcover,October 25th 2011,HarperCollins Publishers
