id,title,author,ISBN,series,avg_rating,pages,rating_count,review_count,book_format,published_year,publisher
467,The Andromeda Strain,Michael Crichton,0060541814,(Andromeda #1),3.89,327,201506,3212,Paperback,October 28th 2003,Avon Books
466,The Stand,Stephen King,0385199570,,4.34,1153,547433,16767,Hardcover,May 1st 1990,Doubleday Books
472,Tripwire,Lee Child,0515128635,(Jack Reacher #3),4.09,432,83343,3272,Paperback,July 1st 2000,Jove
465,The Surgeon,Tess Gerritsen,055381706X,(Rizzoli & Isles #1),4.10,416,117010,3818,Paperback,2005,Bantam Books
460,I Am Pilgrim,Terry Hayes,1439177724,,4.25,612,99355,8907,Hardcover,May 27th 2014,Atria/Emily Bestler Books
462,The Runaway Jury,John Grisham,0385339690,,3.97,358,245757,1927,Paperback,April 25th 2006,Delta
464,Pines,Blake Crouch,1612183956,(Wayward Pines #1),3.90,305,77475,6554,Paperback,August 21st 2012,Thomas & Mercer
461,Night Film,Marisha Pessl,0812979788,,3.78,640,66795,9532,Paperback,July 1st 2014,Random House Trade Paperbacks
463,Tell No One,Harlan Coben,0440236703,,4.11,370,101800,4607,Mass Market Paperback,August 25th 2009,Dell Publishing Company
459,Patriot Games,Tom Clancy,0425134350,(Jack Ryan #1),4.13,503,170948,1176,Paperback,May 1st 1992,Berkley
458,11/22/63,Stephen King,1451627289,,4.31,849,368765,34670,Hardcover,November 8th 2011,Scribner
457,Fight Club,Chuck Palahniuk,0393355942,,4.19,224,445462,12964,Paperback,May 1st 2018,W. W. Norton
456,The Cuckoo's Calling,Robert Galbraith,0316206849,(Cormoran Strike #1),3.86,455,424592,31278,Hardcover,April 30th 2013,"Mulholland Books / Little, Brown and Company"
453,The Good Girl,Mary Kubica,0778316556,,3.81,352,168055,13895,Hardcover,July 29th 2014,Harlequin MIRA
452,Bird Box,Josh Malerman,,(Bird Box #1),4.02,262,101520,13973,Hardcover,May 13th 2014,Ecco
455,Sometimes I Lie,Alice Feeney,0008225354,,3.84,387,57617,8384,Paperback,March 23rd 2017,HQ
454,The Silent Patient,Alex Michaelides,1250301696,,4.05,323,85695,12138,Hardcover,February 5th 2019,Celadon Books
451,Assuming Names: A Con Artist's Masquerade,Tanya Thompson,,,3.51,280,14064,225,ebook,March 2014,Thompson Books
449,Relic,Douglas Preston,0765354942,(Pendergast #1),4.02,480,85182,3101,Paperback,August 1st 2005,Tor Books
447,The Day of the Jackal,Frederick Forsyth,0553266306,,4.26,384,102341,1773,Paperback,October 4th 1982,Bantam
