id,title,author,ISBN,series,avg_rating,pages,rating_count,review_count,book_format,published_year,publisher
47,Soul of the Fire,Terry Goodkind,0812551494,(Sword of Truth #5),3.87,788,56720,809,Mass Market Paperback,March 2000,Tor Books
48,Nimona,Noelle Stevenson,,,4.18,272,80601,9553,Kindle Edition,May 12th 2015,Harper Collins
49,This Savage Song,Victoria Schwab,,(Monsters of Verity #1),4.12,469,49189,9291,Kindle Edition,July 5th 2016,Greenwillow Books
50,Wintersmith,Terry Pratchett,0060890312,(Discworld #35),4.25,325,47024,1597,Hardcover,October 1st 2006,HarperTempest
51,The Lost Hero,Rick Riordan,142311339X,(The Heroes of Olympus #1),4.35,557,552407,19691,Hardcover,October 12th 2010,Disney-Hyperion Books
52,Elantris,Brandon Sanderson,0765350378,(Elantris #1),4.18,638,143197,8502,Mass Market Paperback,May 30th 2006,Tor Fantasy
53,Cinder,Marissa Meyer,,(The Lunar Chronicles #1),4.15,400,584870,48925,Hardcover,2012,Feiwel & Friends
54,Mort,Terry Pratchett,0061020680,(Discworld #4),4.23,243,170697,4129,Mass Market Paperback,February 6th 2001,Harpertorch
55,The Raven Boys,Maggie Stiefvater,0545424925,(The Raven Cycle #1),4.06,409,216546,26202,Hardcover,September 18th 2012,Scholastic Press
56,An Ember in the Ashes,Sabaa Tahir,,(An Ember in the Ashes #1),4.31,446,144221,19686,Paperback,February 9th 2016,Razorbill
57,Fantastic Beasts and Where to Find Them,Newt Scamander,0439321603,(Hogwarts Library),3.99,128,279145,9227,Hardcover,June 1st 2001,Arthur A. Levine Books
58,City of Fallen Angels,Cassandra Clare,1442403543,(The Mortal Instruments #4),4.15,424,428129,21029,Hardcover,April 5th 2011,"Simon & Schuster Children's, Margaret K. McElderry Books"
59,Royal Assassin,Robin Hobb,,(Farseer Trilogy #2),4.23,675,131318,3753,Kindle Edition,November 5th 2002,Spectra
60,The Fifth Season,N.K. Jemisin,,(The Broken Earth #1),4.32,468,88180,11414,Paperback,August 4th 2015,Orbit
61,Anansi Boys,Neil Gaiman,0060515198,(American Gods),4.02,387,175933,9217,Mass Market Paperback,September 26th 2006,HarperCollins HarperTorch
62,The Fires of Heaven,Robert Jordan,1857232097,(The Wheel of Time #5),4.15,912,121186,2336,Paperback,July 4th 1994,Orbit
63,A Discovery of Witches,Deborah Harkness,0670022411,(All Souls Trilogy #1),4.00,579,311396,31060,Hardcover,February 2011,Viking Penguin
64,Inheritance,Christopher Paolini,0375856110,(The Inheritance Cycle #4),4.10,849,189474,9621,Hardcover,November 8th 2011,Alfred A. Knopf
65,Crooked Kingdom,Leigh Bardugo,,(Six of Crows #2),4.62,536,123252,18863,Kindle Edition,September 27th 2016,Orion Children's Books
66,Equal Rites,Terry Pratchett,0060855908,(Discworld #3),4.02,228,123463,3467,Paperback,September 13th 2005,Harper Perennial
67,The Light Fantastic,Terry Pratchett,0061020702,(Discworld #2),3.97,241,105691,3064,Mass Market Paperback,February 2nd 2000,HarperTorch
68,Words of Radiance,Brandon Sanderson,0765326361,(The Stormlight Archive #2),4.76,1087,161284,10031,Hardcover,March 4th 2014,Tor Books
69,Siege and Storm,Leigh Bardugo,,(The Shadow and Bone Trilogy #2),4.05,432,137709,15170,Hardcover,June 4th 2013,Henry Holt and Company
70,Queen of Shadows,Sarah J. Maas,1619636042,(Throne of Glass #4),4.58,648,181370,18708,Hardcover,September 1st 2015,Bloomsbury USA Childrens
71,Lord of Chaos,Robert Jordan,0812513754,(The Wheel of Time #6),4.12,1011,112960,2234,Mass Market Paperback,November 15th 1995,Tor Books
72,Fire,Kristin Cashore,0803734611,(Graceling Realm #2),4.12,480,148597,9821,Hardcover,October 5th 2009,Dial Books
73,Guards! Guards!,Terry Pratchett,0061020648,(Discworld #8),4.33,376,143198,3481,Mass Market Paperback,August 2001,HarperTorch
74,Ella Enchanted,Gail Carson Levine,0590920685,(Ella Enchanted #1),3.98,232,366527,9578,Paperback,September 1st 1998,Scholastic Books
75,Assassin's Quest,Robin Hobb,,(Farseer Trilogy #3),4.19,757,101956,3917,Kindle Edition,November 5th 2002,Spectra
76,A Crown of Swords,Robert Jordan,0812550285,(The Wheel of Time #7),4.03,880,111055,1883,Mass Market Paperback,November 15th 1997,Tor Books
77,The Way of Shadows,Brent Weeks,0316033677,(Night Angel #1),4.16,645,134114,4706,Mass Market Paperback,October 1st 2008,Orbit
78,His Majesty's Dragon,Naomi Novik,0345481283,(Temeraire #1),4.06,353,67363,5594,Mass Market Paperback,March 28th 2006,Del Rey
79,The Bear and the Nightingale,Katherine Arden,1101885939,(Winternight Trilogy #1),4.13,323,75543,12227,Hardcover,January 10th 2017,Del Rey Books
80,The Alloy of Law,Brandon Sanderson,0765330423,(Mistborn: The Alloy Era #1),4.21,332,111950,6739,Hardcover,November 8th 2011,Tor Books
81,Alanna: The First Adventure,Tamora Pierce,0689878559,(Song of the Lioness #1),4.27,274,104774,4556,Mass Market Paperback,January 1st 2005,Simon Pulse
