id,title,author,ISBN,series,avg_rating,pages,rating_count,review_count,book_format,published_date,publisher
194,Lion in the Valley,Elizabeth Peters,1841192163,(Amelia Peabody   #4),4.15,360,13822,580,Paperback,2001,Robinson
195,The Quiche of Death,M.C. Beaton,0312939167,(Agatha Raisin  #1),3.74,246,17640,1870,Paperback,March 7th 2006,St. Martin's Paperbacks
196,The Ice Princess,Camilla Läckberg,1605980927,(Fjällbacka #1),3.72,393,49895,3754,Hardcover,June 15th 2010,Pegasus
197,The Bad Beginning,Lemony Snicket,0439206472,(A Series of Unfortunate Events #1),3.93,176,346468,15262,Paperback,September 30th 1999,"Scholastic, Inc."
198,The Daughter of Time,Josephine Tey,0684803860,(Inspector Alan Grant #5),3.94,206,20937,2682,Paperback,November 29th 1995,Scribner
199,A Great Deliverance,Elizabeth  George,0553278029,(Inspector Lynley #1),4.05,413,35137,1595,Mass Market Paperback,June 1989,Bantam Books
200,The Death of Mrs. Westaway,Ruth Ware,1501156217,NULL,3.82,368,58289,7788,Hardcover,May 29th 2018,Gallery/Scout Press
201,At Bertram's Hotel,Agatha Christie,0002310015,(Miss Marple #11),3.70,223,21259,1074,Paperback,2002,HarperCollins
202,Smokin' Seventeen,Janet Evanovich,0345527704,(Stephanie Plum #17),3.95,324,70308,5036,Mass Market Paperback,November 15th 2011,Bantam
203,Real Murders,Charlaine Harris,0802757693,(Aurora Teagarden #1),3.67,175,25974,1917,Hardcover,December 1st 1990,Walker & Company
204,Glory in Death,J.D. Robb,0425150984,(In Death #2),4.26,296,46097,2112,Mass Market Paperback,December 28th 1995,Berkley Books
205,The Trespasser,Tana French,0143110381,(Dublin Murder Squad #6),3.96,464,49781,5431,Paperback,August 8th 2017,Penguin Books
206,A Curious Beginning,Deanna Raybourn,0451476026,(Veronica Speedwell #1),3.97,340,14950,2615,Paperback,July 12th 2016,Berkley Books
208,Sizzling Sixteen,Janet Evanovich,0739377728,(Stephanie Plum #16),3.95,371,68724,3959,Paperback,June 29th 2010,Random House
209,Kiss the Girls,James Patterson,0446677388,(Alex Cross #2),3.95,481,296749,3189,Paperback,July 1st 2000,Grand Central Publishing
210,Rivers of London,Ben Aaronovitch,0575097566,(Rivers of London #1),3.92,392,67630,7054,Hardcover,January 10th 2011,Gollancz
211,Grave Sight,Charlaine Harris,0425212890,(Harper Connelly #1),3.86,293,58030,2448,Mass Market Paperback,September 26th 2006,Berkley Books
212,The House of Silk,Anthony Horowitz,0316196991,(Sherlock Holmes #1),3.97,294,36447,3998,Hardcover,November 2011,Mulholland Books
213,The Return of Sherlock Holmes,Arthur Conan Doyle,0192123173,(Sherlock Holmes #6),4.31,455,46971,1216,Hardcover,October 28th 1993,Oxford University Press
214,Nemesis,Agatha Christie,0451200187,(Miss Marple #12),3.85,224,21643,1073,Paperback,May 1st 2000,Signet
215,Poirot Investigates,Agatha Christie,0007120702,(Hercule Poirot #3),4.05,265,37101,1247,Paperback,2001,Harper
216,The Surgeon,Tess Gerritsen,055381706X,(Rizzoli & Isles #1),4.10,416,115800,3786,Paperback,2005,Bantam Books
217,Tears of the Giraffe,Alexander McCall Smith,0349116652,(No. 1 Ladies' Detective Agency #2),3.96,217,45740,2579,Paperback,August 7th 2003,Abacus
218,Elephants Can Remember,Agatha Christie,0425067823,(Hercule Poirot #40),3.63,224,22586,1220,Paperback,February 1st 1984,Berkley
219,Explosive Eighteen,Janet Evanovich,0345527712,(Stephanie Plum #18),3.93,305,65582,4864,Hardcover,November 22nd 2011,Bantam
220,Clouds of Witness,Dorothy L. Sayers,0061043532,(Lord Peter Wimsey #2),4.02,288,15909,958,Paperback,June 28th 1995,Harper Paperbacks
221,Fool Moon,Jim Butcher,0451458125,(The Dresden Files #2),4.03,401,140611,6147,Mass Market Paperback,January 9th 2001,Roc
222,After the Funeral,Agatha Christie,0425173909,(Hercule Poirot #31),3.86,256,21436,1097,Paperback,March 1st 2000,Berkley
223,The Silence of the Lambs,Thomas  Harris,0099446782,(Hannibal Lecter #2),4.18,338,407284,4866,Paperback,2002,Arrow
224,The Hidden Staircase,Carolyn Keene,0448095025,(Nancy Drew Mystery Stories #2),3.95,182,28875,1369,Hardcover,1992,Grosset
225,The Snowman,Jo Nesbø,0307595862,(Harry Hole #7),4.01,383,91868,7583,Mass Market Paperback,May 10th 2011,Knopf
226,Defending Jacob,William Landay,0385344228,NULL,3.98,421,231748,18921,Hardcover,January 31st 2012,Delacorte Press
227,They Do It with Mirrors,Agatha Christie,0451199901,(Miss Marple #6),3.75,224,20038,995,Paperback,March 1st 2000,Signet
228,Mistress of the Art of Death,Ariana Franklin,0399154140,(Mistress of the Art of Death #1),3.95,384,31347,2849,Hardcover,February 6th 2007,G.P. Putnam's Sons
229,The Lincoln Lawyer,Michael Connelly,NULL,(Mickey Haller #1),4.16,528,176001,5293,Kindle Edition,October 1st 2005,"Little, Brown and Company"
230,Mystic River,Dennis Lehane,0060584750,NULL,4.18,416,111676,3354,Paperback,February 1st 2001,William Morrow Paperbacks
231,The Mysterious Benedict Society,Trenton Lee Stewart,NULL,(The Mysterious Benedict Society #1),4.16,497,109423,9507,Kindle Edition,April 1st 2008,"Little, Brown Books for Young Readers"
232,E is for Evidence,Sue Grafton,0312939035,(Kinsey Millhone #5),3.89,320,30182,844,Paperback,November 29th 2005,St. Martin's Paperbacks
233,A Time to Kill,John Grisham,NULL,(Jake Brigance #1),4.06,515,657658,4825,Paperback,March 15th 2004,Dell
234,The Couple Next Door,Shari Lapena,0735221081,NULL,3.77,308,223890,19063,Hardcover,August 23rd 2016,Pamela Dorman Books
235,Darkly Dreaming Dexter,Jeff Lindsay,NULL,(Dexter #1),3.90,288,171704,6131,Paperback,September 19th 2006,Vintage Books
236,The Forgotten Garden,Kate Morton,0330449605,NULL,4.13,648,175979,17349,Paperback,June 1st 2008,Pan Books
237,Living Dead in Dallas,Charlaine Harris,1841493007,(Sookie Stackhouse #2),3.98,291,220091,6720,Mass Market Paperback,April 1st 2004,Orbit
238,Jackaby,William Ritter,1616203536,(Jackaby #1),3.83,299,19959,4085,Hardcover,September 16th 2014,Algonquin Young Readers
239,The Historian,Elizabeth Kostova,NULL,NULL,3.78,704,226843,15325,Kindle Edition,June 1st 2005,
240,F is for Fugitive,Sue Grafton,0312939043,(Kinsey Millhone #6),3.91,320,30378,746,Paperback,November 29th 2005,St. Martin's Paperbacks
241,Sad Cypress,Agatha Christie,0007120710,(Hercule Poirot #22),3.86,336,19587,1035,Paperback,September 1st 2001,HarperCollins Publishers
242,G is for Gumshoe,Sue Grafton,0449000621,(Kinsey Millhone #7),3.92,261,28344,786,Paperback,June 23rd 1997,Ballantine Books
243,Cover Her Face,P.D. James,0743219570,(Adam Dalgliesh #1),3.94,250,28221,1100,Paperback,May 8th 2001,Scribner
244,Lethal White,Robert Galbraith,0751572853,(Cormoran Strike #4),4.27,650,67766,7419,Hardcover,September 18th 2018,Sphere
245,A Rule Against Murder,Louise Penny,0312377029,(Chief Inspector Armand Gamache #4),4.20,322,41854,3291,Hardcover,January 20th 2009,Minotaur
246,The Memoirs of Sherlock Holmes,Arthur Conan Doyle,0192123092,(Sherlock Holmes #4),4.32,378,74545,1745,Hardcover,October 28th 1993,Oxford University Press
247,Cards on the Table,Agatha Christie,0425205959,(Hercule Poirot #15),3.92,324,29031,1469,Paperback,July 5th 2005,Berkley
248,"In a Dark, Dark Wood",Ruth Ware,1501112333,NULL,3.68,308,159367,14796,Paperback,April 19th 2016,Gallery/Scout Press
249,Digital Fortress,Dan Brown,NULL,NULL,3.64,510,511073,8586,Paperback,2004,Corgi books
250,Lean Mean Thirteen,Janet Evanovich,0312349491,(Stephanie Plum #13),4.09,310,83450,2367,Hardcover,June 19th 2007,St. Martin's Press
251,Speaking from Among the Bones,Alan Bradley,0385344031,(Flavia de Luce  #5),4.16,378,29826,3464,Hardcover,February 5th 2013,Delacorte Press
252,Night Film,Marisha Pessl,0812979788,NULL,3.78,640,65864,9471,Paperback,July 1st 2014,Random House Trade Paperbacks
253,The Mystery of the Blue Train,Agatha Christie,1579126952,(Hercule Poirot #6),3.79,317,28323,1576,Hardcover,March 30th 2007,Black Dog & Leventhal Publishers
254,Her Royal Spyness,Rhys Bowen,0425215679,(Royal Spyness #1),3.78,324,24657,2612,Paperback,July 3rd 2007,Berkley Publishing Group
255,B is for Burglar,Sue Grafton,0312939000,(Kinsey Millhone #2),3.84,310,42164,1630,Paperback,November 29th 2005,St. Martin's Paperbacks
256,Fearless Fourteen,Janet Evanovich,0312349513,(Stephanie Plum #14),4.03,310,80531,3343,Hardcover,June 17th 2008,St. Martin's Press
257,Hallowe'en Party,Agatha Christie,0007120680,(Hercule Poirot #39),3.66,336,24843,1687,Paperback,September 3rd 2001,Harper
258,Killing Floor,Lee Child,0515141429,(Jack Reacher #1),4.05,424,215792,9478,Mass Market Paperback,April 25th 2006,Jove
259,Hercule Poirot's Christmas,Agatha Christie,0007120699,(Hercule Poirot #20),3.93,335,31273,2160,Paperback,September 1st 2001,HarperCollins Publishers
260,The Brutal Telling,Louise Penny,0312377037,(Chief Inspector Armand Gamache #5),4.23,372,37027,3382,Hardcover,September 22nd 2009,Minotaur Books
261,The Secret Place,Tana French,0143127519,(Dublin Murder Squad #5),3.85,480,51686,5917,Paperback,August 4th 2015,Penguin Books
262,The Beautiful Mystery,Louise Penny,1250031125,(Chief Inspector Armand Gamache #8),4.20,390,37795,4306,Paperback,July 2nd 2013,Minotaur Books
263,Murder in Mesopotamia,Agatha Christie,0007113803,(Hercule Poirot #14),3.89,264,30719,1342,Paperback,December 2001,Harper
264,Bury Your Dead,Louise Penny,0312377045,(Chief Inspector Armand Gamache #6),4.35,371,39131,3922,Hardcover,September 28th 2010,Minotaur Books
265,The Moving Finger,Agatha Christie,0007120842,(Miss Marple #4),3.85,299,23625,1526,Paperback,2012,Harper Collins
266,The Dead in Their Vaulted Arches,Alan Bradley,NULL,(Flavia de Luce  #6),4.17,338,24381,3418,Kindle Edition,January 14th 2014,Delacorte Press
267,Finger Lickin' Fifteen,Janet Evanovich,0312383282,(Stephanie Plum #15),3.99,308,76244,4032,Hardcover,June 23rd 2009,St. Martin's Press
268,The Mirror Crack'd from Side to Side,Agatha Christie,0007120982,(Miss Marple #9),3.91,351,27523,1086,Paperback,2002,HarperCollins
269,Appointment with Death,Agatha Christie,0007119356,(Hercule Poirot #19),3.86,303,29651,1362,Paperback,2001,HarperCollins
270,C is for Corpse,Sue Grafton,0312939019,(Kinsey Millhone #3),3.89,305,37531,1182,Paperback,November 29th 2005,St. Martin's Press
271,Heat Wave,Richard Castle,1401323820,(Nikki Heat #1),3.55,198,57878,4695,Hardcover,September 29th 2009,Hyperion
272,Five Little Pigs,Agatha Christie,0425093255,(Hercule Poirot #25),3.98,224,32829,1872,Paperback,December 15th 1985,Berkley
273,Gaudy Night,Dorothy L. Sayers,0061043494,(Lord Peter Wimsey #12),4.24,501,20927,1477,Paperback,March 16th 1995,HarperTorch
274,The Big Four,Agatha Christie,0007120818,(Hercule Poirot #5),3.59,272,27875,1892,Paperback,2002,HarperCollinsPublishers
275,Crooked House,Agatha Christie,031298166X,NULL,4.02,276,31397,2390,Paperback,August 19th 2002,Minotaur Books
276,Cocaine Blues,Kerry Greenwood,NULL,(Phryne Fisher #1),3.80,185,16910,2203,Kindle Edition,January 10th 2012,Poisoned Pen Press
277,How the Light Gets In,Louise Penny,0312655479,(Chief Inspector Armand Gamache #9),4.42,405,41903,4581,Hardcover,August 27th 2013,Minotaur Books
278,A Pocket Full of Rye,Agatha Christie,0451199863,(Miss Marple #7),3.85,220,24430,1057,Paperback,January 1st 2000,Signet
279,Strong Poison,Dorothy L. Sayers,0060809086,(Lord Peter Wimsey #6),4.13,240,23768,1167,Paperback,October 1st 1987,HarperCollins Publishers
280,A Trick of the Light,Louise Penny,0312655452,(Chief Inspector Armand Gamache #7),4.31,339,35828,3029,Hardcover,August 30th 2011,Minotaur Books
281,Truly Devious,Maureen Johnson,NULL,(Truly Devious #1),4.05,416,20400,4475,Hardcover,January 16th 2018,HarperCollins
282,The Black Echo,Michael Connelly,0446612731,(Harry Bosch #1),4.10,482,133920,3836,Paperback,December 1st 2002,Grand Central Publishing
283,Paper Towns,John Green,014241493X,NULL,3.84,305,776377,46223,Paperback,September 22nd 2009,Speak
284,Curtain,Agatha Christie,0425173747,(Hercule Poirot #42),4.08,215,26229,1416,Mass Market Paperback,September 1st 2000,Berkley
285,Silent in the Grave,Deanna Raybourn,0778324109,(Lady Julia Grey #1),3.91,509,18453,2117,Hardcover,March 1st 2007,Mira
286,Death in the Clouds,Agatha Christie,000711933X,(Hercule Poirot #12),3.80,333,26613,1276,Paperback,2001,HarperCollins
287,The Man in the Brown Suit,Agatha Christie,0007151667,(Colonel Race #1),3.96,381,70472,1431,Paperback,2002,HarperCollinspublishers
288,Sleeping Murder,Agatha Christie,0002317850,(Miss Marple #13),3.94,242,24013,1338,Hardcover,August 4th 2003,Dodd Mead; 1st edition (September 1976)
289,Birds of a Feather,Jacqueline Winspear,0143035304,(Maisie Dobbs #2),3.96,320,26707,2454,Paperback,2005,Penguin
290,Lord Edgware Dies,Agatha Christie,0002314576,(Hercule Poirot #9),3.90,260,24380,1270,Paperback,1977,Collins for the Crime Club
291,Odd Thomas,Dean Koontz,0553384287,(Odd Thomas #1),3.96,446,230662,6979,Paperback,August 29th 2006,Bantam
292,Dog on It,Spencer Quinn,1416585834,(Chet and Bernie Mystery #1),3.86,305,17255,3034,Hardcover,February 10th 2009,Atria Books
293,The Ruby in the Smoke,Philip Pullman,0394895894,(Sally Lockhart #1),3.76,230,22018,1309,Paperback,November 12th 1988,Laurel Leaf Library
294,The Angel's Game,Carlos Ruiz Zafón,0385528701,(El cementerio de los libros olvidados #2),3.90,531,93675,8644,Hardcover,June 16th 2009,Doubleday
295,A Royal Pain,Rhys Bowen,0425221636,(Royal Spyness #2),3.86,307,12567,1008,Hardcover,July 1st 2008,Berkley Hardcover
296,Naked Heat,Richard Castle,1401324029,(Nikki Heat #2),3.76,288,20934,1862,Hardcover,September 28th 2010,Hyperion
297,Among the Mad,Jacqueline Winspear,1427206058,(Maisie Dobbs #6),4.10,0,17697,1376,Audio CD,February 17th 2009,Macmillan Audio
298,Death Comes as the End,Agatha Christie,0312981619,NULL,3.84,277,13877,844,Paperback,April 15th 2002,St. Martin's Paperbacks
299,The Mapping of Love and Death,Jacqueline Winspear,0061727660,(Maisie Dobbs #7),4.21,338,18910,1501,Hardcover,March 23rd 2010,Harper
300,The Bungalow Mystery,Carolyn Keene,1557091579,(Nancy Drew Mystery Stories #3),3.92,204,17470,659,Hardcover,September 1st 1991,Applewood Books
301,The Good Daughter,Karin Slaughter,0062430262,(The Good Daughter #1),4.13,656,76674,7303,ebook,August 8th 2017,William Morrow
302,The City & the City,China Miéville,0345497511,NULL,3.91,312,45505,5132,Hardcover,May 26th 2009,Del Rey
303,Dissolution,C.J. Sansom,0330411969,(Matthew Shardlake #1),4.08,456,33903,2455,Paperback,2004,Pan
304,Justice Hall,Laurie R. King,000711138X,(Mary Russell and Sherlock Holmes #6),4.21,352,11862,696,Paperback,2003,HarperCollins
305,Taken at the Flood,Agatha Christie,0007121016,(Hercule Poirot #28),3.71,352,11990,756,Paperback,2002,HarperCollins Publishers Ltd
306,Sometimes I Lie,Alice Feeney,0008225354,NULL,3.84,387,54376,8026,Paperback,March 23rd 2017,HQ
307,The Unbecoming of Mara Dyer,Michelle Hodkin,NULL,(Mara Dyer #1),4.07,456,142521,15394,Kindle Edition,September 27th 2011,Simon & Schuster Books for Young Readers
308,"The Devil in the White City: Murder, Magic, and Madness at the Fair That Changed America",Erik Larson,0739303406,NULL,3.99,447,440399,29730,Audio Cassette,February 11th 2003,Random House Audio Publishing Group
309,His Last Bow,Arthur Conan Doyle,0755334434,(Sherlock Holmes #8),4.30,256,31889,632,Paperback,December 18th 2006,Headline
310,Then She Was Gone,Lisa Jewell,1501154648,NULL,4.06,359,87879,9078,Hardcover,April 17th 2018,Atria Books
311,The Secret Keeper,Kate Morton,1439152802,NULL,4.14,484,120862,13345,Hardcover,October 9th 2012,Atria
312,Deadly Decisions,Kathy Reichs,0671028367,(Temperance Brennan #3),3.94,368,27607,940,Mass Market Paperback,July 1st 2001,Pocket Star
313,Summer Knight,Jim Butcher,0451458923,(The Dresden Files #4),4.30,446,112244,3644,Mass Market Paperback,September 3rd 2002,Roc
314,Relic,Douglas Preston,0765354942,(Aloysius Pendergast #1),4.02,480,84687,3082,Paperback,August 1st 2005,Tor Books
315,A Test of Wills,Charles Todd,0061242845,(Inspector Ian Rutledge #1),3.89,305,12686,1220,Paperback,December 26th 2006,Harper
316,Fer-de-Lance,Rex Stout,0553278193,(Nero Wolfe  #1),3.99,285,11563,690,Paperback,July 21st 2010,Bantam Crimeline
317,Dark Matter,Blake Crouch,1101904224,NULL,4.10,342,171241,23260,Hardcover,July 26th 2016,Crown
318,From Dead to Worse,Charlaine Harris,0441015891,(Sookie Stackhouse #8),4.01,359,168271,3633,Hardcover,May 6th 2008,Ace
319,First Grave on the Right,Darynda Jones,0312662750,(Charley Davidson #1),4.06,310,66927,7242,Hardcover,February 1st 2011,St. Martin's Press
320,An Unsuitable Job for a Woman,P.D. James,0743219554,(Cordelia Gray #1),3.83,256,12831,803,Paperback,April 17th 2001,Scribner
321,The Broken Girls,Simone St. James,NULL,NULL,4.06,336,27586,4018,Kindle Edition,March 20th 2018,Berkley
322,Locked Rooms,Laurie R. King,0553583417,(Mary Russell and Sherlock Holmes #8),4.26,528,12479,799,Mass Market Paperback,March 28th 2006,Bantam
323,The Chalk Man,C.J. Tudor,1524760986,NULL,3.71,280,39243,6205,Hardcover,January 9th 2018,Crown Publishing Group (NY)
324,The Black Dahlia,James Ellroy,0446698873,(L.A. Quartet #1),3.75,348,73561,2272,Paperback,August 16th 2006,Mysterious Press
325,The Naturals,Jennifer Lynn Barnes,1423168232,(The Naturals #1),4.18,308,22606,3186,Hardcover,November 5th 2013,Disney-Hyperion
326,Grave Secret,Charlaine Harris,0425230155,(Harper Connelly #4),3.95,306,26618,1513,Hardcover,October 27th 2009,Berkley
327,The Sittaford Mystery,Agatha Christie,0007136846,NULL,3.70,400,11769,834,Paperback,2002,HarperCollins Publishers Ltd.
328,The Yiddish Policemen's Union,Michael Chabon,0007149824,NULL,3.70,414,57585,6500,Hardcover,May 1st 2007,HarperCollins
329,The Woods,Harlan Coben,0525950125,NULL,4.04,404,59414,3610,Hardcover,April 17th 2007,Dutton Adult
330,Murder Is Easy,Agatha Christie,0312979827,(Superintendent Battle #4),3.74,288,13297,867,Paperback,November 19th 2001,Minotaur Books
331,The Bourne Identity,Robert Ludlum,0752864327,(Jason Bourne #1),4.00,566,366665,4359,Paperback,March 24th 2005,Orion
332,A Lesson in Secrets,Jacqueline Winspear,0061727679,(Maisie Dobbs #8),4.02,321,15304,1397,Hardcover,March 22nd 2011,Harper
333,The Face of a Stranger,Anne Perry,0804108587,(William Monk #1),4.04,352,13924,943,Mass Market Paperback,May 11th 2011,Fawcett
334,Dead and Gone,Charlaine Harris,0441017150,(Sookie Stackhouse #9),4.01,312,165322,4421,Hardcover,May 5th 2009,Ace Books
335,The Last Camel Died at Noon,Elizabeth Peters,1841193879,(Amelia Peabody   #6),4.21,448,13730,553,Paperback,2002,London : Robinson
336,Ordeal by Innocence,Agatha Christie,0312981627,NULL,3.79,288,12460,966,Paperback,May 19th 2002,Minotaur Books
337,Heist Society,Ally Carter,1423116399,(Heist Society #1),3.91,287,83952,5111,Hardcover,February 9th 2010,Disney-Hyperion
338,And Then There Were None,Agatha Christie,0312330871,NULL,4.25,264,634247,25057,Paperback,May 3rd 2004,St. Martin's Press
339,Big Little Lies,Liane Moriarty,0399167064,NULL,4.25,460,587547,40026,Hardcover,July 29th 2014,Berkley
340,A Fatal Grace,Louise Penny,0312352565,(Chief Inspector Armand Gamache #2),4.11,311,54249,4905,Hardcover,May 15th 2007,Minotaur Books
341,Four to Score,Janet Evanovich,0312966970,(Stephanie Plum #4),4.17,313,120461,2764,Mass Market Paperback,June 15th 1999,St. Martin's Press
342,The Big Sleep,Raymond Chandler,0394758285,(Philip Marlowe #1),4.01,231,106749,4770,Paperback,July 12th 1988,Vintage Crime
343,The Alienist,Caleb Carr,0812976142,(Dr. Laszlo Kreizler #1),4.06,498,129167,6270,Paperback,October 24th 2006,Random House
344,Naked in Death,J.D. Robb,0425148297,(In Death #1),4.12,306,148851,5262,Mass Market Paperback,July 1st 1995,Berkley Publishing Group
345,Storm Front,Jim Butcher,0451457811,(The Dresden Files #1),4.02,322,253677,13994,Mass Market Paperback,April 2000,Penguin ROC
346,The Woman in the Window,A.J. Finn,NULL,NULL,3.94,449,242951,27170,Kindle Edition,January 2nd 2018,William Morrow
347,The Maltese Falcon,Dashiell Hammett,0752865331,NULL,3.91,213,76896,4275,Paperback,March 1st 2005,Orion
348,High Five,Janet Evanovich,0330371231,(Stephanie Plum #5),4.18,336,108931,2432,Paperback,June 2000,St. Martin's Press
349,Hot Six,Janet Evanovich,0312976275,(Stephanie Plum #6),4.19,336,110989,2285,Paperback,June 15th 2001,St. Martin's Paperbacks
350,Faithful Place,Tana French,0670021873,(Dublin Murder Squad #3),3.98,400,76947,6788,Hardcover,July 13th 2010,Viking
351,Death Comes to Pemberley,P.D. James,0307959856,NULL,3.24,291,83006,9131,Hardcover,December 6th 2011,Alfred A. Knopf
352,A Red Herring Without Mustard,Alan Bradley,0385342322,(Flavia de Luce  #3),4.07,399,34628,3777,Hardcover,February 8th 2011,Delacorte Press
353,The Woman in White,Wilkie Collins,0141439610,NULL,3.99,672,118603,6738,Paperback,February 27th 2003,Penguin Classics
354,The Dry,Jane Harper,NULL,(Aaron Falk #1),4.04,352,107606,10924,Kindle Edition,May 31st 2016,Macmillan Australia
355,The 7½ Deaths of Evelyn Hardcastle,Stuart Turton,1492657964,NULL,3.96,432,43808,9030,Hardcover,September 18th 2018,Sourcebooks Landmark
356,Seven Up,Janet Evanovich,0312980140,(Stephanie Plum #7),4.16,337,106174,2030,Mass Market Paperback,June 17th 2002,St. Martin's Press
357,The Murder on the Links,Agatha Christie,0425067947,(Hercule Poirot #2),3.82,232,34145,2115,Paperback,February 1st 1984,Berkley
358,Magpie Murders,Anthony Horowitz,0062645226,NULL,3.93,498,46558,6710,Hardcover,June 6th 2017,Harper
359,Déjà Dead,Kathy Reichs,0671011367,(Temperance Brennan #1),3.87,532,119677,3462,Paperback,June 1998,Pocket Books
360,Hard Eight,Janet Evanovich,0312983867,(Stephanie Plum #8),4.17,326,104871,2094,Paperback,June 16th 2003,St. Martin's Press
361,Before I Go to Sleep,S.J. Watson,0062060554,NULL,3.89,359,252987,20997,Hardcover,June 14th 2011,Harper
362,A Murder Is Announced,Agatha Christie,1579126294,(Miss Marple #5),3.98,288,37695,1715,Hardcover,September 30th 2006,Black Dog & Leventhal Publishers
363,Into the Water,Paula Hawkins,0735211205,NULL,3.55,386,202448,19535,Hardcover,May 2nd 2017,Riverhead Books
364,The Secret of the Old Clock,Carolyn Keene,1557091552,(Nancy Drew Mystery Stories #1),3.99,210,56663,2744,Hardcover,September 1st 1991,Applewood Books
365,The Cruelest Month,Louise Penny,0755328949,(Chief Inspector Armand Gamache #3),4.15,310,43782,3621,Hardcover,March 1st 2008,Headline
366,The Moonstone,Wilkie Collins,0375757856,NULL,3.91,528,67634,3933,Paperback,September 11th 2001,Modern Library
367,4:50 from Paddington,Agatha Christie,1579126936,(Miss Marple #8),3.95,288,36393,1780,Hardcover,March 30th 2007,Black Dog & Leventhal Publishers
368,1st to Die,James Patterson,0446696617,(Women's Murder Club #1),4.07,424,270450,5771,Paperback,May 20th 2005,Grand Central Publishing
369,Evil Under the Sun,Agatha Christie,1579126286,(Hercule Poirot #24),3.96,220,39522,1411,Hardcover,September 1st 2006,Black Dog & Leventhal Publishers
370,To the Nines,Janet Evanovich,0747267634,(Stephanie Plum #9),4.17,320,100579,1959,Paperback,June 5th 2004,St. Martin's Press
371,Shutter Island,Dennis Lehane,038073186X,NULL,4.09,369,141579,7701,Mass Market Paperback,April 27th 2004,HarperTorch
372,The Secret Adversary,Agatha Christie,1600963943,(Tommy & Tuppence #1),3.84,268,33762,2508,Paperback,July 30th 2008,Waking Lion Press
373,Miss Peregrine's Home for Peculiar Children,Ransom Riggs,NULL,(Miss Peregrine's Peculiar Children #1),3.91,352,847852,58450,Hardcover,June 7th 2011,Quirk
374,Dead Until Dark,Charlaine Harris,0441008534,(Sookie Stackhouse #1),3.96,292,472987,17661,Mass Market Paperback,May 1st 2001,Ace Books
376,Deception Point,Dan Brown,0671027387,NULL,3.70,556,543183,8719,Mass Market Paperback,December 2002,Pocket Books
377,Postmortem,Patricia Cornwell,0743477154,(Kay Scarpetta #1),4.02,342,193059,2574,Paperback,December 30th 2003,Pocket Books
378,Along Came a Spider,James Patterson,0446692638,(Alex Cross #1),4.10,449,363535,4444,Paperback,August 1st 2003,Grand Central Publishing
379,Ten Big Ones,Janet Evanovich,0312936222,(Stephanie Plum #10),4.14,319,87275,2004,Mass Market Paperback,June 21st 2005,St. Martin's Press
380,A Study in Charlotte,Brittany Cavallaro,0062398903,(Charlotte Holmes #1),3.81,321,28341,5110,Hardcover,March 1st 2016,Katherine Tegen Books
381,Case Histories,Kate Atkinson,0316010707,(Jackson Brodie #1),3.83,389,69751,5585,Paperback,October 17th 2005,Back Bay Books
382,Broken Harbor,Tana French,0143123300,(Dublin Murder Squad #4),3.93,450,63982,6429,Paperback,April 30th 2013,Penguin Books
383,Mr. Penumbra's 24-Hour Bookstore,Robin Sloan,0374214913,(Mr. Penumbra's 24-Hour Bookstore #1),3.75,288,156416,23529,Hardcover,October 2nd 2012,"Farrar, Straus and Giroux"
384,The Eyre Affair,Jasper Fforde,0142001805,(Thursday Next #1),3.91,374,104959,9527,Paperback,February 25th 2003,Penguin Books
385,The Seven Dials Mystery,Agatha Christie,0007122594,(Superintendent Battle #2),3.78,375,14555,864,Paperback,2001,Harper Collins
386,The Last Policeman,Ben H. Winters,1594745765,(The Last Policeman #1),3.76,316,22511,2985,Paperback,July 10th 2012,Quirk Books
387,T is for Trespass,Sue Grafton,0399154485,(Kinsey Millhone #20),3.94,387,23514,1710,Hardcover,December 4th 2007,G.P. Putnam's Sons
388,O is for Outlaw,Sue Grafton,0449003787,(Kinsey Millhone #15),3.94,354,23137,677,Paperback,January 2nd 2001,Ballantine Books
389,R is for Ricochet,Sue Grafton,0425203867,(Kinsey Millhone #18),3.97,363,28751,782,Mass Market Paperback,March 29th 2005,G.P. Putnam's Sons
390,The Unpleasantness at the Bellona Club,Dorothy L. Sayers,0061043540,(Lord Peter Wimsey #5),4.06,256,12480,511,Paperback,May 10th 1995,HarperTorch
391,Silent in the Sanctuary,Deanna Raybourn,0778324923,(Lady Julia Grey #2),4.05,552,13122,1035,Paperback,2008,Mira
393,Immortal in Death,J.D. Robb,0749934085,(In Death #3),4.28,345,40403,1581,Paperback,September 25th 2003,Piatkus
394,The Clocks,Agatha Christie,1572703938,(Hercule Poirot #37),3.71,8,19327,918,Audio Cassette,June 9th 2004,Audio Partners
395,Faceless Killers,Henning Mankell,1400031575,(Kurt Wallander #1),3.77,280,58449,3020,Paperback,January 14th 2003,Vintage Crime/Black Lizard
396,The Curse of the Pharaohs,Elizabeth Peters,NULL,(Amelia Peabody   #2),4.01,307,17458,1149,Kindle Edition,March 1st 2010,Mysterious Press
397,Cat Among the Pigeons,Agatha Christie,0425205967,(Hercule Poirot #34),3.83,352,24281,1088,Paperback,July 5th 2005,Berkley
398,Cause of Death,Patricia Cornwell,0425213382,(Kay Scarpetta #7),3.93,356,40997,772,Paperback,January 2nd 2007,Berkley Books
