id,title,author,ISBN,series,avg_rating,pages,rating_count,review_count,book_format,published_year,publisher
490,Two for the Dough,Janet Evanovich,0140255559,(Stephanie Plum #2),4.11,326,138775,4444,Paperback,June 1996,Penguin Books
484,Maisie Dobbs,Jacqueline Winspear,0142004332,(Maisie Dobbs #1),3.92,309,69612,6646,Paperback,May 25th 2004,Penguin
483,The Curious Incident of the Dog in the Night-Time,Mark Haddon,1400032717,,3.87,226,1063190,40888,Paperback,May 18th 2004,Vintage
477,Rebecca,Daphne du Maurier,0316323705,,4.22,449,390630,19469,ebook,December 17th 2013,"Little, Brown and Company"
482,The Shadow of the Wind,Carlos Ruiz Zafón,0143034901,(El cementerio de los libros olvidados #1),4.26,487,389787,30447,Paperback,January 25th 2005,Penguin Books
481,The Beekeeper's Apprentice,Laurie R. King,0553381520,(Mary Russell and Sherlock Holmes #1),4.07,341,63569,5641,Paperback,March 26th 2002,Bantam
480,The Westing Game,Ellen Raskin,014240120X,,4.02,182,144723,9494,Paperback,April 12th 2004,Puffin
479,Career of Evil,Robert Galbraith,,(Cormoran Strike #3),4.22,498,137485,12910,Kindle Edition,June 2018,Mulholland Books
478,The A.B.C. Murders,Agatha Christie,1579126243,(Hercule Poirot #13),4.00,252,77634,3591,Hardcover,September 1st 2006,Black Dog & Leventhal Publishers
476,The No. 1 Ladies' Detective Agency,Alexander McCall Smith,1400034779,(Damenes detektivbyrå nr. 1),3.77,235,213007,10524,Paperback,February 6th 2003,Anchor Books
475,The Lost Symbol,Dan Brown,0385504225,(Robert Langdon #3),3.69,509,471106,25998,Hardcover,September 15th 2009,Doubleday
474,Death on the Nile,Agatha Christie,0553119222,(Hercule Poirot #17),4.09,214,96946,3724,Paperback,1978,Bantam Books
473,Murder at the Vicarage,Agatha Christie,1579126251,(Miss Marple #1),4.05,288,124074,3220,Hardcover,September 1st 2006,Black Dog & Leventhal Publishers
472,The Adventures of Sherlock Holmes,Arthur Conan Doyle,,(Sherlock Holmes #3),4.31,339,215220,5862,Paperback,October 22nd 1998,Oxford University Press
471,Still Life,Louise Penny,0312948557,(Chief Inspector Armand Gamache #1),3.88,293,114253,10383,Mass Market Paperback,May 1st 2007,St. Martin's Paperbacks
470,Sharp Objects,Gillian Flynn,,,3.95,254,530064,38605,Paperback,2006,Broadway Paperbacks
469,Dark Places,Gillian Flynn,0307341569,,3.93,349,492698,32721,Hardcover,May 5th 2009,Shaye Areheart Books
468,The Silkworm,Robert Galbraith,0316206873,(Cormoran Strike #2),4.04,455,188788,15936,Hardcover,June 24th 2014,Mulholland Books
467,One for the Money,Janet Evanovich,0312362080,(Stephanie Plum #1),4.04,320,450475,14033,Paperback,2006,Griffin
466,The Murder of Roger Ackroyd,Agatha Christie,1579126278,(Hercule Poirot #4),4.23,288,116798,7904,Hardcover,September 1st 2006,Black Dog & Leventhal Publishers
465,The Hound of the Baskervilles,Arthur Conan Doyle,0451528018,(Sherlock Holmes #5),4.10,256,214454,6869,Mass Market Paperback,July 1st 2001,Signet
464,The Girl Who Kicked the Hornet's Nest,Stieg Larsson,030726999X,(Millennium #3),4.22,563,592926,28130,Hardcover,May 23rd 2010,Knopf
463,A Study in Scarlet,Arthur Conan Doyle,1420925539,(Sherlock Holmes #1),4.15,123,274118,8759,Paperback,January 1st 2005,Digireads.com
462,The Mysterious Affair at Styles,Agatha Christie,0646418432,(Hercule Poirot #1),3.99,121,205166,5858,Paperback,October 21st 2002,Deodand
461,The Sweetness at the Bottom of the Pie,Alan Bradley,,(Flavia de Luce  #1),3.81,386,127842,15142,Kindle Edition,April 24th 2009,Delacorte Press
460,In the Woods,Tana French,0143113496,(Dublin Murder Squad #1),3.76,464,257510,18912,Paperback,May 27th 2008,Penguin Books
459,The Girl Who Played with Fire,Stieg Larsson,0307269981,(Millennium #2),4.23,503,746840,33037,Hardcover,July 28th 2009,Alfred A. Knopf
458,Angels & Demons,Dan Brown,1416524797,(Robert Langdon #1),3.88,736,2392453,27354,Mass Market Paperback,April 1st 2006,Pocket Books
457,The Cuckoo's Calling,Robert Galbraith,0316206849,(Cormoran Strike #1),3.86,455,424592,31278,Hardcover,April 30th 2013,"Mulholland Books / Little, Brown and Company"
456,The Da Vinci Code,Dan Brown,0307277674,(Robert Langdon #2),3.82,489,1727993,44793,Paperback,March 28th 2006,Anchor
455,The Girl on the Train,Paula Hawkins,,,3.91,323,1727321,104707,Hardcover,January 13th 2015,Riverhead Books
454,Murder on the Orient Express,Agatha Christie,0007119313,(Hercule Poirot #10),4.16,347,299353,19380,Paperback,June 4th 2007,HarperCollins Publishers
453,Gone Girl,Gillian Flynn,,,4.06,415,1987372,127930,Paperback,April 22nd 2014,Broadway Books
452,The Girl with the Dragon Tattoo,Stieg Larsson,,(Millennium #1),4.13,465,2298753,65992,Hardcover,September 16th 2008,Knopf
443,Along Came a Spider,James Patterson,0446692638,(Alex Cross #1),4.10,449,365319,4484,Paperback,August 1st 2003,Grand Central Publishing
442,A Study in Charlotte,Brittany Cavallaro,0062398903,(Charlotte Holmes #1),3.81,321,29259,5244,Hardcover,March 1st 2016,Katherine Tegen Books
441,Lethal White,Robert Galbraith,0751572853,(Cormoran Strike #4),4.26,650,72374,7803,Hardcover,September 18th 2018,Sphere
440,Postmortem,Patricia Cornwell,0743477154,(Kay Scarpetta #1),4.02,342,194069,2598,Paperback,December 30th 2003,Pocket Books
439,I Am Half-Sick of Shadows,Alan Bradley,,(Flavia de Luce  #4),4.09,305,29131,3424,Kindle Edition,by Delacorte Press,
